Collected by William R. Stimson 	13	31	RECORDEDBY
W. 29 April 2006 Loran C. Anderson	17	34	RECORDEDBY
Mary W. Diddell Duval County 	0	15	RECORDEDBY
84.61975 W. 7 June 2011 Loran C. Anderson no.	24	41	RECORDEDBY
R. K. Godfrey Herbarium (FSU) HERBARIUM 	0	13	RECORDEDBY
Cecil R. Slaughter Date:	0	18	RECORDEDBY
22 April 1985 Loran C. Anderson No. 8009 Marsilea vestita ssp.	14	31	RECORDEDBY
85.14446 W. 5 November 2013 Loran C. Anderson	28	45	RECORDEDBY
Loran C. Anderson	0	17	RECORDEDBY
R. Dale Thomas, Paul Marx No.	0	25	RECORDEDBY
25 April 2016 Loran C. Anderson	14	31	RECORDEDBY
R. K. Godfrey Herbarium (FSU) 	0	13	RECORDEDBY
Collected by R. K. Godfrey No. 65869 Det.	13	26	RECORDEDBY
7 April 2004 Loran C. Anderson no.	13	30	RECORDEDBY
R. K. Godfrey Herbarium (FSU) 	0	13	RECORDEDBY
Loran C. Anderson No. 10381 16 April 1987 	0	17	RECORDEDBY
R. Kral Det.	0	7	RECORDEDBY
Loran C. Anderson no.	0	17	RECORDEDBY
1 August 2016 Loran C. Anderson no.	14	31	RECORDEDBY
R. K. Godfrey NO. 76356 DET.	0	13	RECORDEDBY
R. K. Godfrey Herbarium (FSU) HERBARIUM 119 *0001 5 5 6 1 3	0	13	RECORDEDBY
R. K. Godfrey NO.	0	13	RECORDEDBY
R. K. Godfrey Herbarium (FSU) 1 	0	13	RECORDEDBY
10 9 R. K. Godfrey 64285, dup.	5	18	RECORDEDBY
R. K. Godfrey Herbarium (FSU) 116 *0001 5 5 0 4 4 * 115 Sangle to Twith, Kline & trench 	0	13	RECORDEDBY
James P. Gillespie 	0	18	RECORDEDBY
Sidney McDaniel 5698 	0	15	RECORDEDBY
Loran C. Anderson No.am 	0	17	RECORDEDBY
R. K. Godfrey Herbarium (FSU) 	0	13	RECORDEDBY
Loran C. Anderson No. 9199 1 April 1986 HERBARIUM OF FLORIDA STATE UNIVERSITY 	0	17	RECORDEDBY
James R. Burkhalter 	0	19	RECORDEDBY
M. I. Cousens No. 	0	13	RECORDEDBY
James R. Burkhalter 	0	19	RECORDEDBY
James R. Burkhalter 21449 	0	19	RECORDEDBY
Debra Grimm No. 	0	11	RECORDEDBY
OC 2001 James R. Burkhalter 	8	27	RECORDEDBY
F. H. Booker Alan R. Smith, UC 	0	12	RECORDEDBY
M. I. Cousens Isoetes flaccida	0	13	RECORDEDBY
James R. Burkhalter 	0	19	RECORDEDBY
James R. Burkhalter Det JRB 	0	19	RECORDEDBY
Date May 13, 1978 Collector Frances Booker 	28	42	RECORDEDBY
James R. Burkhalter Det JRB 	0	19	RECORDEDBY
2850 James R. Burkhalter Date Coll. 	5	24	RECORDEDBY
2850 James R. Burkhalter Date Coll. 	5	24	RECORDEDBY
James R. Burkhalter 	0	19	RECORDEDBY
E. O'Neill' 	0	10	RECORDEDBY
James R. Burkhalter 	0	19	RECORDEDBY
James R. Burkhalter Det JRB 	0	19	RECORDEDBY
Nov 13, 1977 James R. Burkhalter 	13	32	RECORDEDBY
M.I. Cousens No. 	0	12	RECORDEDBY
4 Ap 2014 James R. Burkhalter 24632 	10	29	RECORDEDBY
Dc 2006 James R. Burkhalter 21272 	8	27	RECORDEDBY
James R. Burkhalter Det JRB 	0	19	RECORDEDBY
James R. Burkhalter 22922 	0	19	RECORDEDBY
Frankie C. Johns 	0	16	RECORDEDBY
James R. Burkhalter Det JRB 	0	19	RECORDEDBY
My 2014 James R. Burkhalter 24744 	8	27	RECORDEDBY
Lake Co. Feb. 12, 1979 Date R. and J. Daubenmire 	28	48	RECORDEDBY
